type,content
table_header,指标,取值,单位,约束,部署单元,区域,版本,fact_id
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,主节点,cn,v3.5-cn-finance,P007-F121
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,灾备节点,cn,v3.5-cn-finance,P007-F121
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,只读副本,cn,v3.5-cn-finance,P007-F121
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,主节点,intl,v3.5-cn-finance,P007-F122
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,灾备节点,intl,v3.5-cn-finance,P007-F122
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,只读副本,intl,v3.5-cn-finance,P007-F122
row,API 峰值并发,9000,req/s,enterprise-edition,主节点,cn,v3.5-cn-finance,P007-F123
row,API 峰值并发,9000,req/s,enterprise-edition,灾备节点,cn,v3.5-cn-finance,P007-F123
row,API 峰值并发,9000,req/s,enterprise-edition,只读副本,cn,v3.5-cn-finance,P007-F123
row,P95 检索延迟,30,ms,p95、warm,主节点,intl,v3.5-cn-finance,P007-F124
row,P95 检索延迟,30,ms,p95、warm,灾备节点,intl,v3.5-cn-finance,P007-F124
row,P95 检索延迟,30,ms,p95、warm,只读副本,intl,v3.5-cn-finance,P007-F124
row,最大单文档上传,64,MB,默认限制,主节点,cn,v3.5-cn-finance,P007-F125
row,最大单文档上传,64,MB,默认限制,灾备节点,cn,v3.5-cn-finance,P007-F125
row,最大单文档上传,64,MB,默认限制,只读副本,cn,v3.5-cn-finance,P007-F125
row,日志/审计留存期,180,days,默认,主节点,intl,v3.5-cn-finance,P007-F126
row,日志/审计留存期,180,days,默认,灾备节点,intl,v3.5-cn-finance,P007-F126
row,日志/审计留存期,180,days,默认,只读副本,intl,v3.5-cn-finance,P007-F126
row,批量接口吞吐,7800,ops/s,batch=512,主节点,cn,v3.5-cn-finance,P007-F127
row,批量接口吞吐,7800,ops/s,batch=512,灾备节点,cn,v3.5-cn-finance,P007-F127
row,批量接口吞吐,7800,ops/s,batch=512,只读副本,cn,v3.5-cn-finance,P007-F127
row,当前版本线,v3.5,version,GA,主节点,intl,v3.5-cn-finance,P007-F128
row,当前版本线,v3.5,version,GA,灾备节点,intl,v3.5-cn-finance,P007-F128
row,当前版本线,v3.5,version,GA,只读副本,intl,v3.5-cn-finance,P007-F128
row,默认批次大小,512,items,可配置,主节点,cn,v3.5-cn-finance,P007-F129
